               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1051,            0.052439,            0.034854,            0.040245,             0.15777,            0.024965,           0.0047782,            0.082709,            0.043745,            0.025008,           0.0032456,           0.0032456,            0.070789
                   1,            0.082058,            0.047468,            0.021143,             0.79211,             0.13664,             0.11135,            0.027943,            0.088878,            0.030124,            0.020893,           0.0059276,           0.0059276,            0.040138
                   2,            0.081704,            0.038825,            0.019634,             0.80858,             0.17423,             0.14581,            0.040376,            0.067495,            0.027378,            0.018697,           0.0079496,           0.0079496,           0.0088268
                   3,             0.07321,            0.032875,            0.017517,             0.87578,             0.18075,             0.20951,            0.065537,            0.068029,            0.024261,            0.017013,             0.00703,             0.00703,             0.00703
                   4,            0.061234,            0.028325,            0.016665,             0.61402,             0.43528,             0.32832,             0.10158,            0.054403,            0.026581,            0.015159,             0.00703,             0.00703,             0.00703
                   5,            0.053312,            0.033309,            0.014736,             0.68084,              0.3896,             0.38627,             0.13736,            0.049773,            0.024614,            0.013705,             0.00604,             0.00604,             0.00604
                   6,            0.045555,            0.030567,            0.013856,             0.67145,             0.48662,             0.40299,             0.15113,            0.048681,            0.023704,            0.012015,             0.00505,             0.00505,             0.00505
                   7,             0.04178,            0.030956,            0.011168,             0.80633,             0.48045,               0.517,              0.2382,            0.039481,            0.022036,            0.011524,             0.00406,             0.00406,             0.00406
                   8,            0.036222,            0.029604,            0.010138,             0.86863,             0.48724,             0.54962,             0.30442,            0.035731,            0.021464,            0.011069,             0.00307,             0.00307,             0.00307
                   9,            0.033834,            0.028262,           0.0096917,             0.89721,             0.49922,             0.56133,             0.31771,            0.033099,            0.020972,           0.0090862,             0.00208,             0.00208,             0.00208
